"BarrierName","BarrierType","StreamName","Source","SourceID","Lat","Lon","Mitigated","YearMitigated","Pass_NABD","Pass_Before","Pass_After"
"Felt Dam","Dam","Teton River","National Aquatic Barrier Dataset (SARP)","ID1042",43.907673,-111.2846,"no",0,"Complete barrier",0,0
"","Dam","Low Line Canal","National Aquatic Barrier Dataset (SARP)","ID1049",42.558483,-114.8123,"no",0,"Unknown",0,0
"Gardiner Lower","Dam","Wood Canyon Creek  Thomas Fork Creek","National Aquatic Barrier Dataset (SARP)","ID105",42.30483,-111.11327,"no",0,"Unknown",0,0
"","Dam","Low Line Canal","National Aquatic Barrier Dataset (SARP)","ID1050",42.55862,-114.81278,"no",0,"Unknown",0,0
"","Dam","Deep Creek","National Aquatic Barrier Dataset (SARP)","ID1051",42.568253,-114.8369,"no",0,"Unknown",0,0
"","Dam","Main Canal","National Aquatic Barrier Dataset (SARP)","ID1054",42.302525,-114.65068,"no",0,"Unknown",0,0
"","Dam","Deep Creek","National Aquatic Barrier Dataset (SARP)","ID1055",42.509,-114.863014,"no",0,"Unknown",0,0
"Magic Spillway","Dam","Big Wood River","National Aquatic Barrier Dataset (SARP)","ID106",43.252987,-114.363556,"no",0,"Unknown",0,0
"Dip Creek Dam","Dam","Dip Creek","National Aquatic Barrier Dataset (SARP)","ID1067",43.754078,-114.38218,"yes",0,"Unknown",0,0
"Packsaddle Dam","Dam","","National Aquatic Barrier Dataset (SARP)","ID1070",43.770226,-111.33886,"yes",1916,"Unknown",0,0
"Kunkel Dam","Dam","Soldier Creek","National Aquatic Barrier Dataset (SARP)","ID1074",42.226543,-114.524055,"yes",1994,"Unknown",0,0
"Cove Dam","Dam","Bear River","National Aquatic Barrier Dataset (SARP)","ID1076",42.53199,-111.79601,"yes",2006,"Unknown",0,0
"Watts Lake Dam","Dam","Teton River","National Aquatic Barrier Dataset (SARP)","ID1083",43.927803,-111.38572,"yes",0,"Unknown",0,0
"Salmon Falls","Dam","Salmon Falls Creek  Snake River","National Aquatic Barrier Dataset (SARP)","ID109",42.21237,-114.734024,"no",0,"Unknown",0,0
"Upper And Lower Malad","Dam","Malad River","National Aquatic Barrier Dataset (SARP)","ID1091",42.86392,-114.8851,"no",0,"Unknown",0,0
"Upper And Lower Malad","Dam","Malad River","National Aquatic Barrier Dataset (SARP)","ID1092",42.86547,-114.869095,"no",0,"Unknown",0,0
"Rock Creek No. 2","Dam","Rock Creek","National Aquatic Barrier Dataset (SARP)","ID1094",42.61633,-114.526794,"no",0,"Unknown",0,0
"Birch","Dam","Birch Creek","National Aquatic Barrier Dataset (SARP)","ID1095",44.059483,-112.86591,"no",0,"Unknown",0,0
"Portneuf","Dam","Portneuf River","National Aquatic Barrier Dataset (SARP)","ID1096",42.623295,-111.9958,"no",0,"Unknown",0,0
"Cedar Draw Creek","Dam","Cedar Draw Creek","National Aquatic Barrier Dataset (SARP)","ID1098",42.648525,-114.66004,"no",0,"Unknown",0,0
"Gem State Left Dike","Dam","Snake River","National Aquatic Barrier Dataset (SARP)","ID11",43.429592,-112.096565,"no",0,"Unknown",0,0
"Mink Creek","Dam","Mink Creek","National Aquatic Barrier Dataset (SARP)","ID1101",42.279163,-111.631714,"no",0,"Unknown",0,0
"Stevenson No. 1","Dam","Unnamed Creek","National Aquatic Barrier Dataset (SARP)","ID1102",42.896458,-114.93892,"no",0,"Unknown",0,0
"Marsh Valley","Dam","Portneuf River","National Aquatic Barrier Dataset (SARP)","ID1104",42.626087,-112.150024,"no",0,"Unknown",0,0
"Devil Creek","Dam","Devil Creek  Malad River","National Aquatic Barrier Dataset (SARP)","ID111",42.294453,-112.206985,"no",0,"Unknown",0,0
"041557-Wfkmiinkcreekuppertrailbridge","Dam","West Fork Mink Creek","National Aquatic Barrier Dataset (SARP)","ID1110",42.738056,-112.43903,"yes",2022,"Unknown",0,0
"Upper Sawmill Brook Trout Protection 2011","Dam","Sawmill Creek","National Aquatic Barrier Dataset (SARP)","ID1115",44.379173,-113.40013,"no",0,"Unknown",0,0
"Idaho Fwco Fish Passage And Habitat Restoration","Dam","Stauffer Creek","National Aquatic Barrier Dataset (SARP)","ID1128",42.471104,-111.42354,"yes",2022,"Unknown",0,0
"Stauffer Creek Oxborrow No. 2 Dam","Dam","Stauffer Creek","National Aquatic Barrier Dataset (SARP)","ID1131",42.421555,-111.45511,"yes",2023,"Unknown",0,0
"Teton River","Dam","Teton River","National Aquatic Barrier Dataset (SARP)","ID1133",43.88236,-111.77818,"no",0,"Unknown",0,0
"Monkey Rock Low Head Dam","Dam","Crosscut Canal","National Aquatic Barrier Dataset (SARP)","ID1134",43.934006,-111.614555,"no",0,"Unknown",0,0
"Jacobs","Dam","Blue Lake  Sheep Creek","National Aquatic Barrier Dataset (SARP)","ID117",44.44908,-111.47422,"no",0,"Unknown",0,0
"Murtaugh Lake","Dam","Dry Creek  Snake River","National Aquatic Barrier Dataset (SARP)","ID118",42.46933,-114.16817,"no",0,"Unknown",0,0
"Oakley","Dam","Goose Creek  Snake River","National Aquatic Barrier Dataset (SARP)","ID119",42.195755,-113.915825,"no",0,"Unknown",0,0
"Oneida Dike","Dam","Bear River  Great Salt Lake","National Aquatic Barrier Dataset (SARP)","ID120",42.275658,-111.7496,"no",0,"Unknown",0,0
"Little Wood River","Dam","Little Wood River  Malad River","National Aquatic Barrier Dataset (SARP)","ID125",43.42521,-114.02721,"no",0,"Unknown",0,0
"Mcmullen","Dam","Cottonwood Creek  Rock Creek","National Aquatic Barrier Dataset (SARP)","ID127",42.412907,-114.42571,"no",0,"Unknown",0,0
"Morrison","Dam","Unnamed Stream  Spring Creek","National Aquatic Barrier Dataset (SARP)","ID132",42.00043,-111.80499,"no",0,"Unknown",0,0
"Elkington","Dam","Squaw Creek  Willow Creek","National Aquatic Barrier Dataset (SARP)","ID134",43.348743,-111.80887,"no",0,"Unknown",0,0
"Glendale","Dam","Worm Creek  Cub River","National Aquatic Barrier Dataset (SARP)","ID138",42.128494,-111.81147,"no",0,"Unknown",0,0
"Idaho Falls Upper Diversion Dam No 1","Dam","Snake River  Columbia River","National Aquatic Barrier Dataset (SARP)","ID141",43.552242,-112.047806,"no",0,"Unknown",0,0
"Weston","Dam","Weston Creek  Bear River","National Aquatic Barrier Dataset (SARP)","ID143",42.11933,-112.114426,"no",0,"Unknown",0,0
"Current Creek","Dam","Current Creek  Stockton Creek","National Aquatic Barrier Dataset (SARP)","ID147",42.331562,-111.907486,"no",0,"Unknown",0,0
"Henrys Fork Ranch","Dam","Spring  Henrys Fork","National Aquatic Barrier Dataset (SARP)","ID151",44.10877,-111.43668,"no",0,"Unknown",0,0
"Wiregrass","Dam","Wiregrass Springs  Marsh Creek","National Aquatic Barrier Dataset (SARP)","ID157",42.482403,-112.20396,"no",0,"Unknown",0,0
"Winder","Dam","Mink Creek  Bear River","National Aquatic Barrier Dataset (SARP)","ID16",42.183327,-111.886604,"no",0,"Unknown",0,0
"Fish Creek","Dam","Fish Creek  Little Wood River","National Aquatic Barrier Dataset (SARP)","ID163",43.422653,-113.83233,"no",0,"Unknown",0,0
"Cow Creek","Dam","Cow Creek  Camas Creek","National Aquatic Barrier Dataset (SARP)","ID164",43.342392,-115.092766,"no",0,"Unknown",0,0
"Gooding16","Dam","Clover Creek","National Aquatic Barrier Dataset (SARP)","ID1661",42.88412,-114.67918,"no",0,"Unknown",0,0
"Gooding17","Dam","Clover Creek","National Aquatic Barrier Dataset (SARP)","ID1662",42.88403,-114.684166,"no",0,"Unknown",0,0
"Gooding18","Dam","Clover Creek","National Aquatic Barrier Dataset (SARP)","ID1663",42.9076,-114.70334,"no",0,"Unknown",0,0
"Gooding19","Dam","Big Wood River","National Aquatic Barrier Dataset (SARP)","ID1664",42.953346,-114.744484,"no",0,"Unknown",0,0
"Gooding29","Dam","Malad River","National Aquatic Barrier Dataset (SARP)","ID1670",42.869137,-114.84229,"no",0,"Unknown",0,0
"Gooding34","Dam","Big Wood River","National Aquatic Barrier Dataset (SARP)","ID1672",42.994305,-114.6303,"no",0,"Unknown",0,0
"15","Dam","Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1685",43.38052,-112.05883,"no",0,"Unknown",0,0
"18","Dam","Low Line Canal","National Aquatic Barrier Dataset (SARP)","ID1687",42.97518,-112.83472,"no",0,"Unknown",0,0
"19","Dam","Aberdeen Springfield Canal","National Aquatic Barrier Dataset (SARP)","ID1688",43.114437,-112.640076,"no",0,"Unknown",0,0
"24","Dam","Great Western Canal","National Aquatic Barrier Dataset (SARP)","ID1689",43.362984,-112.1892,"no",0,"Unknown",0,0
"25","Dam","Steel Lateral","National Aquatic Barrier Dataset (SARP)","ID1690",43.350372,-112.20211,"no",0,"Unknown",0,0
"33","Dam","Peoples Canal","National Aquatic Barrier Dataset (SARP)","ID1696",43.244907,-112.41738,"no",0,"Unknown",0,0
"35","Dam","Peoples Canal","National Aquatic Barrier Dataset (SARP)","ID1697",43.225815,-112.475296,"no",0,"Unknown",0,0
"36","Dam","Peoples Canal","National Aquatic Barrier Dataset (SARP)","ID1698",43.215458,-112.50117,"no",0,"Unknown",0,0
"37","Dam","Peoples Canal","National Aquatic Barrier Dataset (SARP)","ID1699",43.179825,-112.52479,"no",0,"Unknown",0,0
"38","Dam","Peoples Canal","National Aquatic Barrier Dataset (SARP)","ID1700",43.13872,-112.522675,"no",0,"Unknown",0,0
"40","Dam","Highline Canal","National Aquatic Barrier Dataset (SARP)","ID1701",43.06165,-112.80427,"no",0,"Unknown",0,0
"41","Dam","Highline Canal","National Aquatic Barrier Dataset (SARP)","ID1702",42.997753,-112.85025,"no",0,"Unknown",0,0
"47","Dam","","National Aquatic Barrier Dataset (SARP)","ID1703",42.877926,-112.881134,"no",0,"Unknown",0,0
"49","Dam","Peoples Canal","National Aquatic Barrier Dataset (SARP)","ID1704",43.284477,-112.25051,"no",0,"Unknown",0,0
"66","Dam","Little Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1712",43.402943,-112.04877,"no",0,"Unknown",0,0
"68","Dam","Little Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1714",43.39915,-112.05287,"no",0,"Unknown",0,0
"70","Dam","Little Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1715",43.3846,-112.07263,"no",0,"Unknown",0,0
"71","Dam","Little Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1716",43.3742,-112.079094,"no",0,"Unknown",0,0
"74","Dam","Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1718",43.28933,-112.14955,"no",0,"Unknown",0,0
"88","Dam","Sand Creek","National Aquatic Barrier Dataset (SARP)","ID1719",43.266624,-112.17581,"no",0,"Unknown",0,0
"Blue Creek Upper","Dam","Blue Creek  Sand Creek","National Aquatic Barrier Dataset (SARP)","ID172",44.223118,-111.61178,"no",0,"Unknown",0,0
"83","Dam","Jensen Lateral","National Aquatic Barrier Dataset (SARP)","ID1726",43.296658,-112.09024,"no",0,"Unknown",0,0
"83","Dam","Jensen Lateral","National Aquatic Barrier Dataset (SARP)","ID1727",43.286964,-112.09875,"no",0,"Unknown",0,0
"85","Dam","Jensen Lateral","National Aquatic Barrier Dataset (SARP)","ID1728",43.269703,-112.13235,"no",0,"Unknown",0,0
"90","Dam","Blackfoot River","National Aquatic Barrier Dataset (SARP)","ID1729",43.167355,-112.332085,"no",0,"Unknown",0,0
"Enders","Dam","Cut Off Canyon Creek  Little Blackfoot River","National Aquatic Barrier Dataset (SARP)","ID173",42.92896,-111.44327,"no",0,"Unknown",0,0
"92","Dam","Blackfoot River","National Aquatic Barrier Dataset (SARP)","ID1730",43.17076,-112.387764,"no",0,"Unknown",0,0
"106","Dam","","National Aquatic Barrier Dataset (SARP)","ID1735",43.218445,-112.39422,"no",0,"Unknown",0,0
"Shoshone Falls Dam 4","Dam","Snake River","National Aquatic Barrier Dataset (SARP)","ID174",42.596195,-114.400024,"no",0,"Unknown",0,0
"111","Dam","Blackfoot River","National Aquatic Barrier Dataset (SARP)","ID1740",43.162193,-112.40499,"no",0,"Unknown",0,0
"123","Dam","Gibson Canal","National Aquatic Barrier Dataset (SARP)","ID1747",43.092213,-112.44624,"no",0,"Unknown",0,0
"124","Dam","Gibson Canal","National Aquatic Barrier Dataset (SARP)","ID1748",43.073105,-112.47987,"no",0,"Unknown",0,0
"125","Dam","Gibson Canal","National Aquatic Barrier Dataset (SARP)","ID1749",43.07018,-112.48515,"no",0,"Unknown",0,0
"Blaine 1","Dam","Fish Creek","National Aquatic Barrier Dataset (SARP)","ID1750",43.435078,-113.809044,"no",0,"Unknown",0,0
"Blaine 2","Dam","","National Aquatic Barrier Dataset (SARP)","ID1751",43.38239,-113.81756,"no",0,"Unknown",0,0
"Blaine 3","Dam","Fish Creek","National Aquatic Barrier Dataset (SARP)","ID1752",43.381504,-113.82026,"no",0,"Unknown",0,0
"Blaine 7","Dam","","National Aquatic Barrier Dataset (SARP)","ID1754",43.32361,-113.96899,"no",0,"Unknown",0,0
"Blaine 8","Dam","Little Wood River","National Aquatic Barrier Dataset (SARP)","ID1755",43.616055,-114.03603,"no",0,"Unknown",0,0
"Blaine 9","Dam","Little Wood River","National Aquatic Barrier Dataset (SARP)","ID1756",43.678307,-114.032135,"no",0,"Unknown",0,0
"Blaine 10","Dam","Bellevue Canal","National Aquatic Barrier Dataset (SARP)","ID1757",43.46479,-114.263794,"no",0,"Unknown",0,0
"Blaine 12","Dam","Big Wood River","National Aquatic Barrier Dataset (SARP)","ID1759",43.80068,-114.57813,"no",0,"Unknown",0,0
"Deep Creek No 1","Dam","Deep Creek  Sinks","National Aquatic Barrier Dataset (SARP)","ID176",42.300377,-114.62864,"no",0,"Unknown",0,0
"Blaine 13","Dam","Big Wood River","National Aquatic Barrier Dataset (SARP)","ID1760",43.801765,-114.57857,"no",0,"Unknown",0,0
"Blaine 14","Dam","Big Wood River","National Aquatic Barrier Dataset (SARP)","ID1761",43.80228,-114.57963,"no",0,"Unknown",0,0
"Blaine 15","Dam","Big Wood River","National Aquatic Barrier Dataset (SARP)","ID1762",43.830532,-114.62613,"no",0,"Unknown",0,0
"Camas 4","Dam","Soldier Creek","National Aquatic Barrier Dataset (SARP)","ID1766",43.410748,-114.79704,"no",0,"Unknown",0,0
"Gem State","Dam","Snake River","National Aquatic Barrier Dataset (SARP)","ID185",43.421112,-112.10124,"no",0,"Unknown",0,0
"Soda Creek Main Dam","Dam","Soda Creek  Bear River","National Aquatic Barrier Dataset (SARP)","ID186",42.688557,-111.60977,"no",0,"Unknown",0,0
"Caribou 1","Dam","Portneuf River","National Aquatic Barrier Dataset (SARP)","ID1883",42.847343,-111.93493,"no",0,"Unknown",0,0
"Caribou 4","Dam","Bench Canal","National Aquatic Barrier Dataset (SARP)","ID1884",42.556847,-111.727905,"no",0,"Unknown",0,0
"Caribou 5","Dam","Bench Canal","National Aquatic Barrier Dataset (SARP)","ID1885",42.54356,-111.7346,"no",0,"Unknown",0,0
"Cassia-B6-1","Dam","Goose Creek","National Aquatic Barrier Dataset (SARP)","ID1887",42.131268,-113.93731,"no",0,"Unknown",0,0
"Cassia-B6-2","Dam","Goose Creek","National Aquatic Barrier Dataset (SARP)","ID1888",42.135933,-113.93758,"no",0,"Unknown",0,0
"26","Dam","East Fork Big Lost River","National Aquatic Barrier Dataset (SARP)","ID1897",43.830147,-113.85555,"no",0,"Unknown",0,0
"29","Dam","Warm Springs Creek","National Aquatic Barrier Dataset (SARP)","ID1899",43.99327,-113.837524,"no",0,"Unknown",0,0
"Lehman Creek Lower","Dam","Lehman Creek  Sinks","National Aquatic Barrier Dataset (SARP)","ID19",43.9607,-113.825,"no",0,"Unknown",0,0
"Summit","Dam","Springs  Summit Creek","National Aquatic Barrier Dataset (SARP)","ID190",44.306076,-113.5081,"no",0,"Unknown",0,0
"30","Dam","Warm Springs Creek","National Aquatic Barrier Dataset (SARP)","ID1900",43.984894,-113.79999,"no",0,"Unknown",0,0
"33","Dam","Big Lost River","National Aquatic Barrier Dataset (SARP)","ID1902",43.897038,-113.608154,"no",0,"Unknown",0,0
"35","Dam","Big Lost River","National Aquatic Barrier Dataset (SARP)","ID1903",43.847176,-113.443,"no",0,"Unknown",0,0
"38","Dam","Burnett Ditch","National Aquatic Barrier Dataset (SARP)","ID1906",43.886806,-113.46653,"no",0,"Unknown",0,0
"40","Dam","","National Aquatic Barrier Dataset (SARP)","ID1907",43.98374,-113.81376,"no",0,"Unknown",0,0
"41","Dam","Big Lost River","National Aquatic Barrier Dataset (SARP)","ID1908",44.0463,-113.92145,"no",0,"Unknown",0,0
"42","Dam","Big Lost River","National Aquatic Barrier Dataset (SARP)","ID1909",44.048637,-113.91718,"no",0,"Unknown",0,0
"51","Dam","Darlington Ditch","National Aquatic Barrier Dataset (SARP)","ID1910",43.8612,-113.53254,"no",0,"Unknown",0,0
"52","Dam","Rodger Ditch","National Aquatic Barrier Dataset (SARP)","ID1911",43.86887,-113.55862,"no",0,"Unknown",0,0
"1","Dam","Bear River","National Aquatic Barrier Dataset (SARP)","ID1913",42.170696,-111.84887,"no",0,"Unknown",0,0
"5","Dam","Cub River","National Aquatic Barrier Dataset (SARP)","ID1914",42.067604,-111.76484,"no",0,"Unknown",0,0
"7","Dam","Cub River","National Aquatic Barrier Dataset (SARP)","ID1916",42.103523,-111.72844,"no",0,"Unknown",0,0
"16","Dam","","National Aquatic Barrier Dataset (SARP)","ID1918",42.207664,-111.87603,"no",0,"Unknown",0,0
"21","Dam","Teton River","National Aquatic Barrier Dataset (SARP)","ID1928",43.894154,-111.692154,"no",0,"Unknown",0,0
"Nash","Dam","Fivemile Creek  Bear River","National Aquatic Barrier Dataset (SARP)","ID193",42.090458,-111.98601,"no",0,"Unknown",0,0
"24","Dam","Teton River","National Aquatic Barrier Dataset (SARP)","ID1930",43.910175,-111.62646,"no",0,"Unknown",0,0
"28","Dam","Fall River","National Aquatic Barrier Dataset (SARP)","ID1932",44.00254,-111.537384,"no",0,"Unknown",0,0
"29","Dam","Fall River","National Aquatic Barrier Dataset (SARP)","ID1933",44.00199,-111.53708,"no",0,"Unknown",0,0
"31","Dam","Fall River","National Aquatic Barrier Dataset (SARP)","ID1934",43.999508,-111.5256,"no",0,"Unknown",0,0
"32","Dam","Fall River","National Aquatic Barrier Dataset (SARP)","ID1935",43.999306,-111.5216,"no",0,"Unknown",0,0
"33","Dam","Fall River","National Aquatic Barrier Dataset (SARP)","ID1936",44.004215,-111.496445,"no",0,"Unknown",0,0
"35","Dam","Fall River","National Aquatic Barrier Dataset (SARP)","ID1937",44.0686,-111.23097,"no",0,"Unknown",0,0
"37","Dam","Henrys Fork","National Aquatic Barrier Dataset (SARP)","ID1938",44.574734,-111.32636,"no",0,"Unknown",0,0
"38","Dam","Pine Creek","National Aquatic Barrier Dataset (SARP)","ID1939",44.553482,-111.26837,"no",0,"Unknown",0,0
"Egbert Dam","Dam","Spring Creek  Henrys Fork","National Aquatic Barrier Dataset (SARP)","ID194",44.09917,-111.46854,"no",0,"Unknown",0,0
"39","Dam","Jones Creek","National Aquatic Barrier Dataset (SARP)","ID1940",44.54874,-111.29517,"no",0,"Unknown",0,0
"65","Dam","Saint Anthony Canal","National Aquatic Barrier Dataset (SARP)","ID1945",43.95308,-111.815414,"no",0,"Unknown",0,0
"67","Dam","Saint Anthony Canal","National Aquatic Barrier Dataset (SARP)","ID1946",43.94639,-111.8338,"no",0,"Unknown",0,0
"70","Dam","Saint Anthony Canal","National Aquatic Barrier Dataset (SARP)","ID1947",43.94773,-111.85599,"no",0,"Unknown",0,0
"Blackfoot","Dam","Blackfoot River","National Aquatic Barrier Dataset (SARP)","ID195",43.004116,-111.71688,"no",0,"Unknown",0,0
"87","Dam","Independent Canal","National Aquatic Barrier Dataset (SARP)","ID1953",43.958145,-111.705215,"no",0,"Unknown",0,0
"100","Dam","Independent Canal","National Aquatic Barrier Dataset (SARP)","ID1959",43.932304,-111.812485,"no",0,"Unknown",0,0
"114","Dam","Marysville Canal","National Aquatic Barrier Dataset (SARP)","ID1965",44.070175,-111.32907,"no",0,"Unknown",0,0
"115","Dam","Marysville Canal","National Aquatic Barrier Dataset (SARP)","ID1966",44.07342,-111.33844,"no",0,"Unknown",0,0
"116","Dam","Marysville Canal","National Aquatic Barrier Dataset (SARP)","ID1967",44.06433,-111.355415,"no",0,"Unknown",0,0
"119","Dam","Crosscut Canal","National Aquatic Barrier Dataset (SARP)","ID1969",44.015507,-111.58426,"no",0,"Unknown",0,0
"120","Dam","Crosscut Canal","National Aquatic Barrier Dataset (SARP)","ID1970",43.97576,-111.60903,"no",0,"Unknown",0,0
"153","Dam","Farmers Own Canal","National Aquatic Barrier Dataset (SARP)","ID1988",44.060513,-111.37608,"no",0,"Unknown",0,0
"157","Dam","Conant Creek","National Aquatic Barrier Dataset (SARP)","ID1989",43.99609,-111.28462,"no",0,"Unknown",0,0
"Upper Salmon Falls A-Plant Diversion Dam","Dam","Snake River","National Aquatic Barrier Dataset (SARP)","ID199",42.768196,-114.91626,"no",0,"Unknown",0,0
"158","Dam","Conant Creek","National Aquatic Barrier Dataset (SARP)","ID1990",43.98939,-111.25456,"no",0,"Unknown",0,0
"Tingey","Dam","Unnamed Stream  Bear River","National Aquatic Barrier Dataset (SARP)","ID200",42.04609,-111.957275,"no",0,"Unknown",0,0
"185","Dam","Fall River Canal","National Aquatic Barrier Dataset (SARP)","ID2002",43.993008,-111.59333,"no",0,"Unknown",0,0
"Lehman Creek Upper","Dam","Lehman Creek  Sinks","National Aquatic Barrier Dataset (SARP)","ID201",43.954254,-113.83384,"no",0,"Unknown",0,0
"217","Dam","","National Aquatic Barrier Dataset (SARP)","ID2013",43.893547,-111.6041,"no",0,"Unknown",0,0
"218","Dam","","National Aquatic Barrier Dataset (SARP)","ID2014",43.905468,-111.593636,"no",0,"Unknown",0,0
"8","Dam","Dry Bed","National Aquatic Barrier Dataset (SARP)","ID2033",43.692524,-111.88143,"no",0,"Unknown",0,0
"Strong Arm No 1 (Upper)","Dam","Battle Creek  Bear River","National Aquatic Barrier Dataset (SARP)","ID204",42.23374,-111.861465,"no",0,"Unknown",0,0
"24","Dam","Snake River","National Aquatic Barrier Dataset (SARP)","ID2041",43.636295,-112.059746,"no",0,"Unknown",0,0
"26","Dam","Long Island Canal","National Aquatic Barrier Dataset (SARP)","ID2042",43.715267,-111.973694,"no",0,"Unknown",0,0
"27","Dam","Long Island Canal","National Aquatic Barrier Dataset (SARP)","ID2043",43.720425,-112.0084,"no",0,"Unknown",0,0
"28","Dam","Long Island Canal","National Aquatic Barrier Dataset (SARP)","ID2044",43.720512,-111.99974,"no",0,"Unknown",0,0
"29","Dam","Long Island Canal","National Aquatic Barrier Dataset (SARP)","ID2045",43.720516,-111.987946,"no",0,"Unknown",0,0
"30","Dam","Long Island Canal","National Aquatic Barrier Dataset (SARP)","ID2046",43.716644,-111.97761,"no",0,"Unknown",0,0
"32","Dam","Long Island Canal","National Aquatic Barrier Dataset (SARP)","ID2047",43.720592,-111.95704,"no",0,"Unknown",0,0
"33","Dam","Long Island Canal","National Aquatic Barrier Dataset (SARP)","ID2048",43.718487,-111.93958,"no",0,"Unknown",0,0
"55","Dam","South Teton River","National Aquatic Barrier Dataset (SARP)","ID2066",43.88208,-111.69061,"no",0,"Unknown",0,0
"56","Dam","South Teton River","National Aquatic Barrier Dataset (SARP)","ID2067",43.83756,-111.7597,"no",0,"Unknown",0,0
"2","Dam","Game Creek","National Aquatic Barrier Dataset (SARP)","ID2074",43.58078,-111.0566,"no",0,"Unknown",0,0
"3","Dam","Game Creek","National Aquatic Barrier Dataset (SARP)","ID2075",43.580368,-111.057396,"no",0,"Unknown",0,0
"5","Dam","Spring Creek","National Aquatic Barrier Dataset (SARP)","ID2076",43.806465,-111.14827,"no",0,"Unknown",0,0
"15","Dam","Texas Slough","National Aquatic Barrier Dataset (SARP)","ID2078",43.718246,-111.827156,"no",0,"Unknown",0,0
"Bray Lake","Dam","Dry Creek  Big Wood River","National Aquatic Barrier Dataset (SARP)","ID208",43.034885,-114.87594,"no",0,"Unknown",0,0
"22","Dam","Independent Canal","National Aquatic Barrier Dataset (SARP)","ID2082",43.90538,-111.86693,"no",0,"Unknown",0,0
"48","Dam","Canyon Creek","National Aquatic Barrier Dataset (SARP)","ID2083",43.84474,-111.44569,"no",0,"Unknown",0,0
"69","Dam","Woodmansee Johnson Canal","National Aquatic Barrier Dataset (SARP)","ID2085",43.858196,-111.698654,"no",0,"Unknown",0,0
"72","Dam","Trail Creek","National Aquatic Barrier Dataset (SARP)","ID2086",43.56403,-111.06974,"no",0,"Unknown",0,0
"81","Dam","Darby Creek","National Aquatic Barrier Dataset (SARP)","ID2090",43.673958,-111.06305,"no",0,"Unknown",0,0
"94","Dam","Teton River","National Aquatic Barrier Dataset (SARP)","ID2095",43.87998,-111.78898,"no",0,"Unknown",0,0
